,query,speciesCode,comName,sciName,order,family,genus,species,description
10,Cactus Wren,cacwre,Cactus Wren,Campylorhynchus Brunneicapillus,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,"Large wren, with bold white eyebrow and dense spots on the breast. Aptly named, this wren rarely strays from desert scrub or coastal sagebrush scrub. Builds large, oval nest of sticks. Listen for harsh, grating call."
11,Rock Wren,rocwre,Rock Wren,Salpinctes Obsoletus,Passeriformes,Troglodytidae,Salpinctes,obsoletus,"True to its name, prefers rocky areas, especially rocky slopes. Often perches conspicuously and bobs up and down. Pale grayish wren with whitish throat, buffy sides, and long, slightly decurved bill. Tiny speckles on back and wings like grains of sand. Undertail coverts barred black and white. Paler overall than Canyon Wren with a pale, buffy belly. Listen for its ringing vocalization. Sexes alike."
12,House Wren,houwre,House Wren,Troglodytes Aedon,Passeriformes,Troglodytidae,Troglodytes,aedon,"At home in suburbs, parks, rural farmland, and other open areas with thick tangles. In the breeding season, it is often singing its effervescent song from the top of a bush or fence post. Plumage doesn't show much contrast: plain brown overall, slightly paler below, with some dark barring on the wings and tail. Lacks white eyebrow. In winter they are more secretive, preferring brushy tangles, thickets, and hedgerows."
13,Bewicks Wren,bewwre,Bewick's Wren,Thryomanes Bewickii,Passeriformes,Troglodytidae,Thryomanes,bewickii,"Long-tailed, rather slender wren. Dark brown above and pale grayish below with whitish eyebrow. Slender bill is slightly decurved. Favors dry scrubby areas, thickets in open country, and open woodlands near rivers and streams. Also at home in gardens, residential areas, and parks in cities and suburbs. Song is variable, but usually includes high-pitched buzzes and musical trills."
14,Northern Mockingbird,normoc,Northern Mockingbird,Mimus Polyglottos,Passeriformes,Mimidae,Mimus,polyglottos,"Gray with whitish underparts and long tail. In flight, it becomes much flashier with large white patches on the black wings and tail. Pale eye. Found in a variety of habitats with bushes and trees, from neighborhoods to desert scrub and old pastures. Mimics birds, car alarms, slamming doors, and other noises in its song, repeating a phrase 5-7 times before switching to next set of notes."
15,Curve-billed thrasher,cubthr,Curve-billed Thrasher,Toxostoma Curvirostre,Passeriformes,Mimidae,Toxostoma,curvirostre,Long-tailed with decurved bill and fairly faint round spots on breast and belly. Grayish-brown overall with paler throat and orangey undertail. Eye color varies from yellow to orange. Lurks around cactus and desert shrubs. Most common thrasher in suburban yards and parks in the southwest U.S. and Mexico. Perches atop a prickly shrub to sing.
16,European starling,eursta,European Starling,Sturnus Vulgaris,Passeriformes,Sturnidae,Sturnus,vulgaris,"Stocky and dark overall with short tail and triangular wings. A close look reveals beautiful plumage: in breeding season, look for purple and green iridescence and a yellow bill. In winter, shows extensive white and buffy spots over the entire body. Juveniles are plain grayish-brown; note bill shape. Native to Eurasia; introduced extensively across the globe. Often abundant, gathering in large flocks in open agricultural areas and towns and cities. Makes a variety of squeaky vocalizations, and often mimics other species. Visits feeders, where it is often aggressive towards other birds."
17,Black-tailed gnatcatcher,bktgna,Black-tailed Gnatcatcher,Polioptila Melanura,Passeriformes,Polioptilidae,Polioptila,melanura,"Tiny gray insectivore of scrubby areas in the southwest U.S. and northern Mexico. Breeding males show a black cap with a thin white eyering; nonbreeding males have a thin black line over the eye. Females lack any black on the head. Note tail pattern from below: mostly black with bold white spots. Prefers dry, scrubby habitats such as desert washes, where pairs flit around in the low bushes. Listen for harsh scolding calls. Compare with Blue-gray Gnatcatcher, but note Black-tailed often looks drabber brownish-gray, and has much more black on the underside of the tail."
18,Verdin,verdin,Verdin,Auriparus Flaviceps,Passeriformes,Remizidae,Auriparus,flaviceps,"Tiny, unique songbird with a sharply pointed bill. Mostly plain gray with a yellow head. Small rufous patch on shoulders is sometimes visible. Juveniles lack the yellow head; note bill shape to help separate from Lucy's Warbler or Bushtit. Forages solo or in pairs in scrubby arid habitats, especially mesquite. Occasionally visits hummingbird feeders for nectar; primarily feeds on insects."
19,Cassins Vireo,casvir,Cassin's Vireo,Vireo Cassinii,Passeriformes,Vireonidae,Vireo,cassinii,"Fairly dull vireo, intermediate between Blue-headed and Plumbeous. Grayish-olive overall, but with yellowish flanks and greenish back. Note white spectacles contrasting with gray head and two whitish wingbars. Breeds in mixed coniferous forests, especially in mountainous areas; winters in Mexico. Often separable from Blue-headed and Plumbeous Vireos by range, but can overlap during migration and winter. Cassin's is less contrasty than Blue-headed, especially between the gray face and whitish throat, and the greenish back blends into the nape and crown. Some birds are best left unidentified."
20,Bells Vireo,belvir,Bell's Vireo,Vireo Bellii,Passeriformes,Vireonidae,Vireo,bellii,"A fairly drab vireo of dense, scrubby vegetation, often near water. Two populations: Eastern birds are brighter, with yellow flanks and olive-green back. Note vague spectacled pattern around eye and one bright white wingbar (sometimes with a fainter upper wingbar). Western birds vary from dull olive above to entirely plain gray, usually with one bright wingbar. Look for long tail, often cocked and flipped around. Very active, flitting around nervously in low bushes and thickets. Listen for fast, scratchy song and harsh scold notes. Compare with the brighter and more contrasty White-eyed Vireo, especially in the East, and with the larger and plainer Gray Vireo in the West."
21,Ruby-crowned kinglet,ruckin,Ruby-crowned Kinglet,Corthylio Calendula,Passeriformes,Regulidae,Corthylio,calendula,"Tiny, hyperactive songbird with an uneven white eyering. Plain olive overall, with slightly brighter greenish edges on the wing and tail feathers. The namesake ruby crown is only present on males, and usually concealed. When agitated, it can be flared up into a bright expressive crest. Breeds in coniferous forests. In migration and winter, found in basically any wooded habitat, including deciduous forests, shrubby woodland, and field edges. Often forages quite low to the ground, sometimes joining mixed flocks of other songbirds. Energetic, moving quickly and flicking its wings. Listen for short, harsh call notes, usually doubled, and surprisingly loud song for such a small bird. Compare with Hutton’s Vireo, which is similar in plumage but has a thicker bill and forages more sluggishly."
22,Says Phoebe,saypho,Say's Phoebe,Sayornis Saya,Passeriformes,Tyrannidae,Sayornis,saya,"Medium-sized flycatcher with distinctive salmon-orange wash on the belly. Otherwise grayish-brown with a contrasting black tail. Also watch for frequent tail-wagging. Widespread and fairly common in western North America. Breeds as far north as Alaska, and winters to southern Mexico. Always in open habitats, usually on a conspicuous low perch."
23,Black Phoebe,blkpho,Black Phoebe,Sayornis Nigricans,Passeriformes,Tyrannidae,Sayornis,nigricans,"A medium-sized, sooty-black flycatcher. Marked geographic variation: most North American birds have dull wings and a clean white belly, while South American birds have bright white edging on wing feathers and much more limited white on the belly. Typically seen singly or in pairs, usually sitting conspicuously on a low perch. Frequently pumps tail up and down. Often near water; especially tied to fast-flowing, rocky streams in South America."
24,Olive-sided flycatcher,olsfly,Olive-sided Flycatcher,Contopus Cooperi,Passeriformes,Tyrannidae,Contopus,cooperi,"Stocky flycatcher that almost always perches conspicuously on a high bare perch with an upright posture. From the front, look for dark sides creating a vest, with a bright white stripe from throat to belly. White patches on the sides of rump are sometimes visible from behind. Most similar to pewees but larger and larger-billed, with more contrasting vest. Feeds on insects. Breeds in clearings and bogs in boreal or mountainous forests, but can be found in migration in open habitats with a mixture of woods and clearings. Distinctive whistled song is often likened to ""quick, three beers;"" also listen for ""pip"" call notes."
25,Gray Flycatcher,gryfly,Gray Flycatcher,Empidonax Wrightii,Passeriformes,Tyrannidae,Empidonax,wrightii,"Drab, pale-gray flycatcher with little plumage contrast; very similar to other flycatchers, especially Dusky and Hammond's. Often best identified by unique habit of wagging tail downward. Breeding habitat also distinctive: lower, more open habitat than other flycatchers, usually in sagebrush or open juniper forest. In migration and winter, habitat overlaps more with other flycatchers, but still tends to prefer more open areas. Other subtle differences in appearance include shorter wingtips, longer bill, and paler plumage. Song includes hoarse ""chivik"" phrase and higher, clearer ""pseeoo."" Call similar to Dusky. Without an excellent view, sometimes best left unidentified."
26,Cassins kingbird,caskin,Cassin's Kingbird,Tyrannus Vociferans,Passeriformes,Tyrannidae,Tyrannus,vociferans,"Fairly large yellow-bellied flycatcher of the southwest U.S. and western Mexico. Dark gray head contrasts with white mustache. Also note blackish tail with white tip (but this can be difficult to see, especially when worn). Found in open, arid habitats with tall shrubs and trees, sometimes venturing up into clearings and meadows in mountains. Most similar to Western Kingbird, which is paler and less contrasting on the head. Listen for burry “ch-breer” calls."
27,Western kingbird,weskin,Western Kingbird,Tyrannus Verticalis,Passeriformes,Tyrannidae,Tyrannus,verticalis,"Fairly large yellow-bellied flycatcher; common and widespread in western North America. Rather pale gray head with weakly contrasting whitish throat and breast, and lemon-yellow belly. Also look for black tail with white edges (but this can be difficult to see, especially when worn). Found in open habitats with tall shrubs and trees, often perched up conspicuously on a telephone wire or fence post. Compare especially with Cassin’s Kingbird, which is darker and more contrasting on the head. Winters in large numbers south to Costa Rica, often gathering in large loose groups during migration."
28,Great tailed grackle,grtgra,Great-tailed Grackle,Quiscalus Mexicanus,Passeriformes,Icteridae,Quiscalus,mexicanus,"Large, lanky blackbird with flat crown and long tail. Males have ridiculously long tails, almost as long as their body, often held in a V-shape. Males are glossy black. Females are brown with paler eyebrow and throat. Eyes yellow to white; dusky for immatures. In coastal Texas, where its range overlaps with Boat-tailed Grackle, note habitat (more generalized as opposed to strictly saltmarsh) and pale eye (not brown)."
29,Gila woodpecker,gilwoo,Gila Woodpecker,Melanerpes Uropygialis,Piciformes,Picidae,Melanerpes,uropygialis,"This desert-dwelling woodpecker is plain buffy-brown with black-and-white barring on the back. Adult males have a red crown. No similar species in range. Occurs singly or in pairs, often perched conspicuously atop a cactus. Comfortable in human settlements; frequently visits feeders and backyards in suburban areas. Primarily a Mexican species, occurring extensively across Baja and in the Pacific lowlands south to Jalisco. Limited range in the U.S., mainly in Arizona."
30,Gilded flicker,gilfli,Gilded Flicker,Colaptes Chrysoides,Piciformes,Picidae,Colaptes,chrysoides,"Large woodpecker, very similar to Northern Flicker. Overall pale sandy brown with gray face and brown crown. Spotted below with black oval on chest. Underwing and shafts of flight feathers bright yellow. Males have red mustache stripe; sexes otherwise alike. Combination of face pattern and yellow in wings helps distinguish from both ""Red-shafted"" and ""Yellow-shafted"" Northern Flickers. Shows a strong affinity for saguaro cactus but also found in nearby woodland. Gives a piercing ""kleer"" call similar to Northern Flicker."
31,Northern flicker,norfli,Northern Flicker,Colaptes Auratus,Piciformes,Picidae,Colaptes,auratus,"Large, brownish woodpecker with black barring on the back and black spots on the belly. Easily recognized in flight by its bright white rump. Also note large black crescent-shaped mark on breast. Wings and tail flash yellow or red, depending on the subspecies. Generally ""Yellow-shafted"" is found in eastern and northern North America, and ""Red-shafted"" is found in western North America as far south as Oaxaca. Birds from Chiapas to Nicaragua are larger with entirely brown crown, sometimes considered a separate species. Typically singly or in pairs, but can gather in large loose groups during migration and winter. Often seen feeding on the ground in open areas, foraging for ants and worms. Vocal and conspicuous: listen for loud “kleer!” call and series of laughing notes."
32,Eurasian collared-dove,eucdov,Eurasian Collared-Dove,Streptopelia Decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,"Large pale dove with a black crescent on the nape. Slightly smaller and paler than Rock Pigeon, with a proportionately longer, square-tipped tail. Favors farms and suburbs; avoids areas with extensive forests. Typically seen in pairs or small loose groups; forms larger flocks in winter. Widespread and common throughout much of Eurasia and northern Africa. Introduced to, and established in, much of North America, the Caribbean, and parts of Central America. Compare with African Collared-Dove, which may occur in small feral populations or as an escapee throughout Eurasian Collared-Dove’s range. Especially note tail pattern from below: mostly white, contrasting with the grayish undertail coverts, and with black extending down the outer edge of the tail feathers. Voice - a cooing “woop-WOOO!-woop” - is also helpful."
33,Rock Pigeon,rocpig,Rock Pigeon,Columba Livia,Columbiformes,Columbidae,Columba,livia,"Fairly large pigeon with wild and feral populations throughout the world. True wild birds nest on cliffs and in caves from western Europe to central Asia. Pale gray overall with two bold black wingbars and iridescent purple and green on neck. Feral varieties are common in cities and farmland, often in large flocks. Variable plumage: some identical to wild-type birds, but can be completely black, white, or orangey-brown and any combination in between."
34,Greater roadrunner,greroa,Greater Roadrunner,Geococcyx Californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,"A huge, ground-dwelling cuckoo. Streaky brown overall with a very long tail and short, shaggy crest. Surprisingly iridescent in good light, with purple and green tones on wings and tail. Usually seen on the ground in dry desert habitats with patches of thick vegetation; sometimes perches on fences or rocks, especially when singing. Runs swiftly after large insects, lizards, and other prey. Unmistakable in most of range; overlaps locally with Lesser Roadrunner in west Mexico. Greater has more streaking on the throat and center of breast, instead of clear buffy on Lesser. Listen for very low-pitched cooing song."
35,Lesser nighthawk,lesnig,Lesser Nighthawk,Chordeiles Acutipennis,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,"Long-winged nocturnal bird which catches insects in flight often around dawn and dusk. Found in shrubby open areas. Intricate brown, buffy, and gray patterning with white patches near wingtips. Very similar to Common Nighthawk, best distinguished by the position of white wing patch: closer to wingtip on Lesser, closer to base of wing on Common, but this difference can be very difficult to judge. Also typically paler than Common with more golden buffy tones. During the day, roosts on the ground or on a tree branch."
36,Annas hummingbird,annhum,Anna's Hummingbird,Calypte Anna,Caprimulgiformes,Trochilidae,Calypte,anna,"Relatively large-headed and chunky. Gray and green overall, lacking buffy or orangey tones. Males have shocking magenta head, which appears dark when not catching the light. Females have dingy grayish underparts and often show a dark patch in the center of the throat. Note relatively short, straight bill compared with Black-chinned or Costa’s Hummingbird. Common year-round in the Pacific states of the U.S., mainly in relatively open or scrubby habitats including desert scrub and chaparral. Frequently seen in suburban yards and gardens, often visiting sugar water feeders. Expanding its range northward into British Columbia, even regular in southeast Alaska. Winters to southern Baja and locally elsewhere in Mexico. Listen for male’s scratchy, metallic song, given when perched."
37,Black-chinned hummingbird,bkchum,Black-chinned Hummingbird,Archilochus Alexandri,Caprimulgiformes,Trochilidae,Archilochus,alexandri,"Small hummingbird found in a variety of woodland and brushy habitats. Male distinctive with purple-and-black throat. Female has whitish underparts with almost no buffy tones (perhaps a very light wash on flanks). Tends to pump its tail more than other hummingbirds. Readily comes to sugar water feeders and flower gardens. Common in summer over much of the western U.S., barely into Canada. Winter range extends just south of Mexico City, and increasingly regular on the Gulf Coast of the U.S. Very difficult to distinguish from Ruby-throated Hummingbird, especially females and young males; thankfully limited range overlap. Black-chinned averages somewhat dingier green above, longer-billed with a slight droop, and has slightly broader, more club-shaped outer wing feathers, but these differences are all extremely subtle."
38,Black-necked stilt,bknsti,Black-necked Stilt,Himantopus Mexicanus,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,"Elegant shorebird with exceptionally long, bright pink legs. Distinctive black-and-white plumage and thin black bill. Male is glossier black above, female is slightly browner. Some variation across range: darker neck in Hawaii; whiter crown and more extensive white collar in southern South America. Widespread and fairly common throughout the Americas, although rare or absent from much of the eastern U.S. Usually seen in pairs or small flocks, foraging in shallow ponds or marshes."
39,American avocet,ameavo,American Avocet,Recurvirostra Americana,Charadriiformes,Recurvirostridae,Recurvirostra,americana,"Distinctive large shorebird with a long, thin, upturned bill. Look for bold black-and-white wings and long blue-gray legs. Breeding adults have buffy-orange wash on head and neck; grayish in winter. Females have more sharply upturned bills than males. Widespread and fairly common in North America, although rare or absent from much of the eastern U.S. Usually seen in flocks, sometimes numbering into the hundreds, foraging in shallow wetlands or estuaries. Feeds by swinging its head back-and-forth through the water to catch small invertebrates."
40,Killdeer,killde,Killdeer,Charadrius Vociferus,Charadriiformes,Charadriidae,Charadrius,vociferus,"Common, large plover. Slender shape with long wings and tail. Look for two black breast bands, unique among plovers in its range. Often nests near human development: parking lots, school roofs, road edges, and farms, usually on bare gravel. Adults perform broken-wing displays to distract predators from their nests and young. Gathers in larger numbers in migration and winter, often in fields with short grass or barren dirt. Occurs throughout North America; more local along the Pacific coast of northern South America. Can be very vocal; listen for loud namesake “kill-deer” call."
41,Lesser yellowlegs,lesyel,Lesser Yellowlegs,Tringa Flavipes,Charadriiformes,Scolopacidae,Tringa,flavipes,"Medium-sized shorebird with bright yellow legs. Plumage is essentially identical to Greater Yellowlegs: gray upperparts with white speckling, streaky neck, and white belly. Proportions are most important for identification. Lesser is smaller overall with shorter, narrower, straighter bill, shorter neck, more rounded head, and smaller chest. Forages actively on mudflats and in shallow pools and marshes, often in loose mixed flocks with Greater Yellowlegs. Somewhat more likely to be found in smaller, marshier habitats than Greater, but much overlap. Listen for soft, whistled “tew” calls, typically only one or two notes, unlike the stronger series of notes from Greater."
42,Neotropic Cormorant,neocor,Neotropic Cormorant,Nannopterum Brasilianum,Suliformes,Phalacrocoracidae,Nannopterum,brasilianum,"Black body. Immatures have dark brown breast. Orange facial skin comes to a point and is bordered by thin white line. Smaller, longer-tailed and shorter-legged than Double-crested Cormorant. Dives underwater to capture fish. Often perches with spread wings to dry them out. Most widespread species of cormorant from Mexico south. In U.S., seen mostly in Texas."
43,American white pelican,amwpel,American White Pelican,Pelecanus Erythrorhynchos,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,"Extremely large and conspicuous. White with black wingtips. Very long, orange bill with pouch for scooping up fish. Forages in flocks, swimming together to concentrate fish. Often soars in flocks, infrequently flapping, during migration and when traveling between feeding sites."
44,Least bittern,leabit,Least Bittern,Ixobrychus Exilis,Pelecaniformes,Ardeidae,Ixobrychus,exilis,"This diminutive heron is fairly common in its preferred wetland habitat, but secretive and easily overlooked. Tiny size and attractive pattern of orange, black, and white is distinctive among herons within its range. Males are blacker above; females are browner. Occurs throughout much of North and South America, where it can be found in marshes with a mix of open water and vegetation, often with cattails, phragmites, or lily pads. Usually seen perched motionlessly, straddling reeds at the edge of water. Occasionally makes short flights just above the reeds. Listen for the soft cooing song, given during the day and at night."
45,Great blue heron,grbher3,Great Blue Heron,Ardea Herodias,Pelecaniformes,Ardeidae,Ardea,herodias,"Huge gray heron, no other similar species in range. Note large yellow-orange bill, short black plumes on head, and black and chestnut pattern on shoulder. Immatures are more brownish than adults, and have a dark crown. Fairly common and widespread throughout North America; wintering range extends to northern South America. Occurs in almost any wetland habitat, from small ponds to marshes to saltwater bays. Usually seen singly but can gather in numbers where food is plentiful. White form, sometimes considered a separate species (“Great White Heron”), is found in southern Florida and the Caribbean. It is most similar to Great Egret but has a larger bill."
46,Great egret,greegr,Great Egret,Ardea Alba,Pelecaniformes,Ardeidae,Ardea,alba,"Large, lanky, long-necked white heron. Size and black legs help separate from other egrets. Widespread and fairly common across the globe. Bill color varies across range: always yellow in the Americas, black in breeding season elsewhere. Occurs in any shallow wetland, including ponds, marshes, and tidal mudflats. Slowly stalks prey in shallow water. Often seen singly, but sometimes gathers in large numbers where food is plentiful. Breeds in colonies, frequently mixed with other egrets and herons."
47,Snowy egret,snoegr,Snowy Egret,Egretta Thula,Pelecaniformes,Ardeidae,Egretta,thula,"Small white heron with black bill, black legs, and yellow feet. Lores (between eye and bill) are usually bright yellow, but flush reddish in the breeding season. Also note lacy plumes on head, breast, and back during breeding season. Immatures have duller yellow lores and more yellow extending up the legs than adults. Fairly common and widespread in North and South America; often most common along the coast. Found in a variety of wetland habitats, especially shallow marshy pools and mudflats. Forages fairly actively in shallow water, often darting after small fish. Compare with immature Little Blue Heron, which usually has more greenish legs and lores, and note Snowy’s more active feeding style."
48,Cattle egret,categr1,Western Cattle Egret,Bubulcus Ibis,Pelecaniformes,Ardeidae,Bubulcus,ibis,"Small, compact white heron with relatively short yellow bill. More frequently seen in dry habitats than other egrets. In breeding season, look for pale salmon color on head and breast and brighter bill. Leg color varies from reddish or yellow during the breeding season to black during the nonbreeding season. Juveniles have dark bill. Always note relatively short, thick neck and short legs compared with other egrets. Often gathers in flocks, frequently following cattle or tractors in fields."
49,Green heron,grnher,Green Heron,Butorides Virescens,Pelecaniformes,Ardeidae,Butorides,virescens,"Small, dark heron with a blue-green back, rusty-colored neck and dark cap. Usually in a crouched position, partly concealed in vegetation, waiting patiently for prey. In flight, looks like an awkward crow with broad wings, neck tucked in, and legs extending just beyond the tail. Often vocal when flushed; gives a sharp ""skeiw!"""
50,Black-crowned night-heron,bcnher,Black-crowned Night Heron,Nycticorax Nycticorax,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,"Stocky heron with neck usually tucked in. Adults overall pale grayish with black cap and back. Red eyes. Juveniles noticeably different, brown and streaky with yellow eyes. Often crouched under overhanging branches during the day. Feeds nocturnally for fish, frogs and other prey. Where it overlaps with Yellow-crowned Night-Heron, note large teardrop-shaped white spots on wing coverts which Yellow-crowned lacks."
51,Black vulture,blkvul,Black Vulture,Coragyps Atratus,Cathartiformes,Cathartidae,Coragyps,atratus,"Large raptor. Uniform black with silvery patches on undersides of wingtips. In flight, broad, rounded wings with distinct ""fingers"" are held flat like a board. Notice very short tail and small black head. Soars in flocks, often with other vultures and hawks. Flight style is distinctive; bat-like, strong snappy wingbeats followed by short glides. Look for them along highways eating roadkill, or picking through dumpsters."
52,Turkey vulture,turvul,Turkey Vulture,Cathartes Aura,Cathartiformes,Cathartidae,Cathartes,aura,"Large raptor. Appears dark from a distance. Up close, dark brown above with bare red head. In flight, undersides of wings are two-toned; lighter on the entire trailing edge of the wing, opposed to just wingtips on Black Vulture. Wings are held slightly raised when soaring, making a ""V"" when seen head-on. Tends to wobble in flight. Wingbeats slower and deeper than Black Vulture. Glides relatively low while sniffing for carrion, or riding thermals to higher vantage points. Also huddles around roadkill or dumpsters."
53,Osprey,osprey,Osprey,Pandion Haliaetus,Accipitriformes,Pandionidae,Pandion,haliaetus,"Large, mostly white raptor that cruises over lakes, rivers, and coastal waterways in search of fish. Impressively widespread: found on every continent except Antarctica. Mostly white head and underparts; dark brown back. In flight, holds wings with a kink in the wrist (shaped like an ""M""). Stick nests are conspicuous on top of channel markers, utility poles and high platforms near water. Often seen plunging feet-first into water from high in the air to grab fish."
54,Northern harrier,norhar2,Northern Harrier,Circus Hudsonius,Accipitriformes,Accipitridae,Circus,hudsonius,"Medium-sized hawk with long tail and thin wings. Flies with wings held in a V-shape, low over open fields and marshes, listening for rodents lurking below. Distinctive foraging behavior and conspicuous white patch on rump in all plumages. Females and immatures are warm brown. Adult males gray above and whitish below with black wingtips."
55,Sharp-shinned hawk,shshaw,Sharp-shinned Hawk,Accipiter Striatus,Accipitriformes,Accipitridae,Accipiter,striatus,"Small hawk with relatively short rounded wings. Adults are gray above with pale orange barring below; immatures are browner and streaky. Very similar to Cooper's Hawk, especially in plumage, but smaller overall with smaller head, more squared-off tail, and more petite feet. Also note quicker, snappier wingbeats. Breeds in extensive forests. Feeds mainly on birds captured in flight. Often stalks feeders in search of prey."
